Column1,Column2
#separator:tab,
#html:false,
"ab, abs, a + Fall?",
ab urbe,
a tertia hora,
a Gallis vinci,
servus ab epistulis,
abies ,
abolere Stf,
absorbere Stf,
absurdus,
ac =?,
acanthus,
accersere =?,
accipiter,
"acer, cris, cre ",
acerbus ,
acerbitas,
acere,
acetum ,
acidus,
acervus,
acies  (oculorum/hostium),
aciem laedere,
in acie vinci,
acuere Stf ,
acutus (<> acidus),
praeacutus,
acumen,
ad  ,
ad urbem esse/venire,
ad multam noctem,
ad trecentos,
ad usum,
ad praeceptum,
adamas,
adamantinus,
adolere  Stf (odores/flammis penates),
adulari (2/),
adulatio,
adulescens ,
adulescentulus,
adulescentia,
"adulter, era, erum ",
adulterium,
adytum ,
aedes 1. Sg./2. Pl.,
aedilis,
aedilitas,
aedificium,
aedificare,
inaedificare ,
"aeger, gra, grum",
aegre (Adv.),
aegrimonia,
aegritudo ,
aegrotus,
aegrotare,
aegrotatio,
aegis,
aemulus  (2/),
aemulus meus,
aemulari (2/),
aemulatio ,
aequus (5) (campus/acies/tempus/pars/condicio),
aequitas  (animi/legis),
aequalis (4) (locus/pars/Caesari/meus),
aequare (3) (locum/aciem/sortes),
aequare tecta solo,
aequare Gallos virtute,
aequabilis,
aequabilitas,
adaequare ,
coaequare,
aequor ,
aequoreus,
iniquus ,
iniquitas ,
aer,
aerius,
aerumna,
aes,
aera (=Pl. zu aes),
aera emere,
aereus,
aerarium,
aeratus,
aerugo,
aenus,
aenum,
aeneus,
aestas,
aestivus,
aestiva,
aestimare ,
aestimatio,
existimare,
existimatio,
aestus ,
aestuosus,
aestuare ,
aetas ,
aeternus,
aeternitas,
aether,
aetherius,
aevum ,
ager (2: Sg/Pl),
agellus,
agrestis (2: Adj./Subst.),
agrarius,
lex agraria,
agricola,
agricultura,
peragrare,
peregre (Adv.),
peregrinus,
agere Stf.,
agere equum/praedam,
agere causam,
agere temere/de pace,
agere aetatem,
agere curam,
agere primas partes,
acta ,
actor (pecoris/rei/fabulae/causae) (4),
"actio (rei, orationis/causae) (3)",
actiones consulis,
actus,
actus pecoris/fabulae,
primus actus fabulae,
actuarius,
age (=Imper.),
agmen ,
agilis,
agitare,
agitare rem mente,
agitatio,
exagitare ,
abigere Stf.,
adigere,
adigere pecus in umbram/e vicis,
adigere ensem pectori,
adigere milites ad sacramentum/sacramento/–,
exigere (3) Stf.,
exigere reges ex urbe/ pecunias ab eo/ensem in pectus,
exigere rem ad ius/opus,
exiguus,
exiguitas,
redigere (3) Stf.,
redigere in provinciam,
subigere  Stf.,
transigere  Stf.,
transigere negotium,
transigere tempus,
se transigere gladio,
cogere Stf.,
cogere senatum in curiam/invitos venire,
cogere id ita esse,
degere Stf.,
circumagere Stf.,
peragere Stf. ,
peragere mare remo,
peragere cursum/vitam,
peragere postulata,
agger,
aggerare,
exaggerare ,
agnus,
agna,
a(h)!,
aio (=verbum defektivum),
ala (3),
alarius (2: Adj./Subst. m. Pl.),
ales (2: Adj./Subst.),
"alacer, cris, cre",
alacritas,
albus ,
album,
albere Stf.,
albescere,
alea,
alere Stf.,
alimentum,
almus,
alumnus (2: Adj./Subst.),
alienus ,
alienare,
"aliquis, quid ",
"aliqui, quae, quod",
alicubi,
alicunde,
aliquantus,
aliquantum aquae,
aliquot (indekl.),
aliquando ,
aliquamdiu,
"alius, a, ud",
alius aliud dicit ,
alii...alii,
aliter (Adv.),
adipisci Stf.,
apium,
apricus,
aptus ,
aptus (e) virtute,
aptus ei/ad pugnam,
aptare ? ,
ineptus,
apud + Fall,
apud Germanos,
aqua (4: Sg/Pl.),
aqua Appia,
aquosus,
aquari,
aquila,
aquilo,
ara,
arare,
arator ,
aratio ,
aratrum,
arbiter ,
arbitrium,
arbitrari ,
arbitratu (meo),
arbor,
arboreus,
arbustum,
arbutus,
arbutum,
arca,
arcanus,
arcere Stf. Fall? (manus vinculis/hostem urbe),
coercere (3),
arcessere Stf.,
arcessere proditionibus,
architectus,
arcus,
ardere Stf.,
ardere ad proelia/Alexin/proeliari,
ardor ,
ardescere Stf.,
exardescere,
arduus ,
area ,
arere Stf. ,
aridus ,
argentum ,
arguere Stf.,
argutus (3) (manus/vox/orator),
argumentum ,
argumentari,
redarguere,
aries ,
arista,
arma,
armare,
armatura,
armamenta,
"armiger, era, erum",
armipotens,
"inermis, e/inermus, a, um",
armentum ,
armus ,
ars,
ars grammatica,
bonae artes,
artifex (2: Subst; 1: Adj),
artificium (3),
artificiosus,
"iners, tis ",
inertia ,
"sollers, tis ",
sollertia ,
artus,
artus,
arvum ,
arx ,
as,
asellus,
"asper, era, erum ",
asperitas,
assus,
ast,
astrum,
astrologus,
astus ,
astutus,
at,
"ater, tra, trum ",
"atrox, ocis ",
atrocitas,
atomus,
"atque, ac",
alius/idem atque,
atqui(n) ,
atrium,
attat!,
au!,
auceps ,
audere Stf. ,
ausum,
"audax, acis",
audacia,
audire,
audire bene ab eo,
auditor,
auditus,
inauditus ,
exaudire ,
augere Stf. ,
auctor ,
auctoritas ,
auctio,
augur,
augurium (3),
augurari (3) (-/templum/mortem),
augustus ,
domus Augusta,
mensis Augustus,
aula ,
aulaeum,
aura,
sub auras ferre,
auriga ,
auris,
auricula,
aurora,
aurum,
aureus,
auratus,
auscultare,
auspex ,
auspicium,
auspicari,
auster ,
austerus ,
aut,
aut…aut…,
autem (nachgestellt),
autumnus,
auxilium (2: Sg./Pl.),
auxiliaris (2: Adj/Subst. m. Pl.),
auxiliarius,
avarus,
avaritia,
avena ,
avere,
ave!,
avidus Fall?,
avunculus,
avus ,
avitus ,
proavus,
axis (3),
baca (3),
bacchari,
baculum,
balare,
balatus,
balbus,
balneum,
balteus,
barathrum,
barba,
imberbis,
barbarus ,
barbaria ,
barbaricus,
barbitos,
beare (= tr.),
beatus,
bellum ,
bellicus ,
bellicosus ,
bellare (-ri) ,
bellator (2:Subst/Adj.),
debellare  (cum eo/eum),
rebellare,
rebellio,
rebellis,
imbellis,
bellus,
belua,
bestia,
bibere Stf.,
bibulus ,
bigae,
bilis ,
"bipennis (2: Adj/Subst,?)",
bis,
"bini, ae, a",
blandus ,
blanditia ,
blandiri,
blandimentum ,
bonus Komparation?,
bonitas,
optimates,
bene Komparation?,
beneficus,
beneficentia ,
beneficium,
benevolentia,
benignus ,
benignitas,
boreas,
bos ,
brac(c)hium ,
brevis,
brevitas,
bruma ,
buxus/buxum,
caballus,
cacumen,
cadaver,
cadere Stf.,
sol cadit,
labor male cadit,
casus ,
caducus,
aqua/spes casura,
accidere Stf. ,
"accidit, ut",
aliquid mihi/i accidit,
concidere Stf.,
decidere Stf. ,
excidere Stf. ,
excidium,
incidere Stf. (in foveam/capiti),
incidere in hostem ,
occidere Stf. ,
ad occidentem (solem),
occasus,
ad occasum (solis),
occasio,
procidere Stf.,
cadus,
caecus ,
caecitas,
caedere Stf. ,
caedes,
circumcidere Stf.,
concidere Stf. (3),
decidere Stf. ,
excidere Stf. ,
excidere arborem/columnas rupe/saxum,
incidere Stf. (5) (nomen arbori/arborem/vitem/funem/faces),
occidere Stf.,
praecidere Stf.,
recidere Stf. ,
succidere Stf.,
caelare,
caelebs Gen?,
lectus caelebs,
caelum ,
caelestis,
caeles (2: Adj/ Subst. Pl.),
caelicola,
caerimonia ,
caerulus,
caeruleus,
caesaries,
caespes ,
caestus,
caetra,
caetratus,
calamitas,
calamitosus,
calamus ,
calathus,
calere Stf.,
calidus,
calor,
incalescere Stf.,
caligo ,
calix,
callidus ,
calliditas,
calo,
calumnia,
calx,
calceus,
calcare  (uvas/viam),
caminus,
campus,
campus Martius,
"campester, tris, tre ",
candere Stf. ,
candidus,
candidus sol/ candida hora,
candidus amicus,
candidatus ,
candor (3) (togae/solis/amici),
canere Stf. (4) (carmen/virum/signa/cithara),
gallus/tuba canit,
cantor,
cantus ,
cantare (3) (carmen/Achillem/tibiis),
canorus,
concinere Stf. ,
concentus,
recinere ,
canis,
canna,
canus ,
"cani, orum",
canities ,
canere,
caper,
capra,
capella,
caprea ,
capere Stf. ,
capere arma/consulatum,
capere pisces/ducem/urbem,
captus amore/auribus,
capere pecuniam/dolorem ex clade,
portus naves/mens verum capit,
captivus ,
captivitas ,
captiosus,
captare,
"capax, acis",
capessere Stf.,
capessere rem publicam,
accipere Stf. ,
concipere Stf. ,
concipere ignem/spem,
concipere (semina),
concipere preces,
decipere Stf.,
excipere Stf. (3) (eos lege/ictus corpore/eum hospitio),
incipere Stf.,
inceptum,
inceptare,
intercipere Stf.,
occipere Stf.  (-/rem),
percipere Stf. ,
perceptio ,
praecipere Stf. (3) (rem/ut/artem),
praeceptum ,
praecipuus ,
praecipue (Adv.),
recipere Stf. ,
recipere urbem/gressus ad urbem,
se recipere ex terrore/ad eum,
recipere eum tecto/eum ad se/officium,
receptus ,
suscipere Stf. ,
suscipere ruentem/onus,
puer a patre suscipitur,
occupare,
occupare eum,
occupare id facere,
occupatio ,
praeoccupare  (locum/eum),
recuperare,
recuperator,
antecapere Stf (3) (rem/locum/noctem),
capillus,
capsa,
capulus ,
caput ,
caput amnis ,
accusare capitis,
caput libri/Graecia,
capitalis ,
capitalis poena/scriptor,
"anceps, cipitis",
"praeceps, cipitis ",
praeceps in mare deici,
praeceps iter/victoria,
in praeceps iacere,
praecipitare (3) (eum/scelus/-),
carbasus (2: Sg./Pl.),
carbo,
carcer (2: Sg./Pl.),
cardo ,
"carere Stf., Fall? ",
carina ,
carmen ,
caro,
carnifex,
carpere Stf. ,
carpere flores/oscula,
carpere hostem proeliis,
carpere viam/diem,
decerpere Stf.,
excerpere Stf.,
carrus,
carus ,
caritas ,
casa,
casia,
castanea,
castigare  (equum/pueros),
castra ,
castellum,
castus,
incestus,
catena,
caterva,
catinus,
catillus,
catulus ,
catus,
cauda,
caulis ,
caupo,
caupona,
caurus/corus,
causa ,
amici causa,
per causam,
ea de causa,
accusare,
accusator,
accusatio,
excusare  (eum/rem),
excusatio,
incusare  (eum/rem),
recusare ,
cautes,
cavere Stf. ,
cavere sociis (Dat.),
cavere ei de pecunia,
cavere canem/a cane,
cave venias!,
cautus,
incautus ,
cavus ,
cava ilex/via/nubes,
cavea ,
caverna,
cavare,
concavus ,
cedere Stf. ,
res male cedit,
hostes cedunt,
cedere (ex) loco,
cedere in praedam,
cessare ,
abscedere Stf.,
accessio ,
accessus,
antecedere Stf. ,
concedere Stf. ,
concedere ei/ei multa,
concedere in dicionem populi Romani,
decedere Stf.,
decedit filius/sol,
discedere Stf.,
discedere in duas partes/ab eo/domum,
discessus ,
"excedere Stf.  (urbe, urbem/in eum annum)",
"incedere Stf. (4) (-/ad eum/locum/ei, eum)",
incessus Stf. ,
incessere Stf.,
intercedere Stf. ,
intercedere inter legiones,
bellum intercedit,
intercedere legi,
intercedere pro iis,
intercessio ,
praecedere Stf.  Fall?,
procedere  Stf.,
agmen/opus procedit,
recedere Stf. ,
recessus ,
secedere Stf. ,
secedere in montem,
secessio ,
succedere (3) (oneri/ad superos/ei),
successor,
successus ,
cedo (Sg.)/cette (Pl.) ,
cedrus ,
celare,
"celeber, bris, bre (3) (urbs/dies/nomen)",
celebritas (3),
celebrare ,
"celer, eris, ere",
celeritas,
celerare,
accelerare ,
cella ,
celsus ,
excelsus,
excellere,
excellens,
excellentia,
cena,
cenare,
accendere Stf.,
incendere Stf.,
incendium,
succendere Stf.,
censere Stf. ,
censor,
censorius ,
census ,
censura,
centum (indekl.),
centuria,
centurio,
cera ,
cereus ,
cerebrum,
cernere Stf.  (rem oculis/ferro),
decernere Stf.,
decretum ,
discernere Stf. ,
secernere Stf. ,
secretus Adv?,
secretum,
certare ,
certatio ,
certatio poenae,
certatim Adv.,
decertare Fall?,
certus,
certiorem facere,
certe Adv. ,
certo Adv.,
incertus,
cervix,
cervus,
cerva,
ceu (indekl.) ,
chaos Formen? ,
charta ,
chiragra/cheragra,
chlamys,
chorda,
chorus ,
chorea/chorea,
cibus,
cicada,
cicer,
cicuta,
ciere Stf. ,
citus Adv.?,
citare (testem),
recitare,
conciere Stf. ,
concitare ,
concitatio ,
accire Stf.,
excire Stf. ,
excitare,
excitare ignem/turrim,
incitare,
incitamentum,
suscitare ,
sollicitus ,
sollicitudo,
sollicitare,
cingere Stf.,
accingere Stf.,
accingi pugnae,
discingere Stf.,
incingere Stf.,
praecingere Stf.: alte praecinctus,
succingere Stf. ,
cinis,
circus ,
circum (circa) (2: Adv./Präp:?),
stare circum,
stare circum eum/mittere circum omnes,
circiter (Adv.),
ciris,
cis ?,
citra (2: Adv./Präp:?),
citra flumen/fidem/scelus,
"citerior, ius",
cithara,
civis,
civitas ,
civilis,
civilis exercitus,
ius civile,
civilis animus,
officia civilia ,
civicus,
clades ,
clam (2:Adv./Präp:?),
clanculum (2:Adv./Präp:?),
clamare ,
clamor,
clamitare,
conclamare ,
exclamare ,
clangor  (tubarum/anserum),
clarus (3),
claritudo ,
declarare ,
praeclarus,
classis ,
claudere Stf.  (portam/filium),
claustra ,
concludere Stf. ,
conclusio ,
excludere Stf. ,
includere Stf. ,
intercludere Stf. Fall?,
praecludere Stf.,
recludere Stf.,
clavis,
clavus (3),
clemens,
clementia,
cliens,
clientela ,
declinare (3) (ictum a re/de via/minas),
declinatio,
inclinare ,
inclinatio (3),
reclinare,
clipeus (clupeus) ,
clitellae,
clivus,
declivis,
proclivis (3),
clunis,
coalescere Stf. ,
codex ,
codex accepti et expensi,
codicillus,
coepisse Stf.,
coeptum,
coeptare,
coetus ,
cogitare ,
cogitatio ,
excogitare,
cohors (3),
colere Stf.,
colere agros,
colere insulam/circa ripam,
colere studia/deos,
cultor,
cultus (3) (agri/humanus/regius),
cultura,
incultus,
colonus,
colonia,
excolere Stf,
incolere  (urbem/ibi),
accola (2: Subst./Adj.),
incola (2: Subst./Adj.),
collega,
collegium ,
collis,
collum ,
color,
coluber,
columba,
columna,
coma ,
comans,
comans gelea/stella,
comere Stf. ,
comptus,
incomptus,
comes,
comitari,
comitatus,
comis (= Adj. zu comes),
comitas,
comminisci Stf.,
commenticius,
commentari ,
commentarius (liber),
comoedia,
comicus,
comicus poeta,
comperire Stf. ,
compescere Stf.,
compilare,
compitum,
conari,
conatus,
concha (3),
conchylium ,
concilium,
conciliare  (regem sibi/i//iis pacem),
reconciliare ,
concinnus,
inconcinnus,
condire,
congruere Stf.,
considerare,
consternare  (equum),
consul,
consulatus,
consularis (2: Adj./Subst.),
proconsul,
"consulere Stf (3) (eum/rem, de re/ei)",
consulere severe in eum,
consultus  (-/iuris),
consultum,
consulto/e (Adv.),
consultor ,
consultare (3),
consilium ,
consilium habere/convocare/dare/capere,
plenus consilii,
contaminare,
contio ,
contionari,
contra (2: Adv./Präp),
contrarius ,
contrarium,
contubernium ,
contumacia (vs. contumelia!!),
contumelia ,
contus ,
percontari (-cunctari) (rem ex eo/eum de re),
convicium ,
convexus ,
"convexa, orum ",
copia (2: Sg./Pl.),
copia pugnandi,
copiosus  (-/oratio),
copulare,
coquere Stf.,
coquere cibum ,
coquere panem/venenum,
coquere glaebam/poma,
cor ,
is mihi/i cordi est,
"concors, dis",
concordia,
discors ,
discordia ,
discordare,
excors,
socors ,
socordia ,
vecors,
vecordia,
recordari ?,
recordatio,
praecordia (3),
coram (2: Adv./?),
corium (3),
cornix,
cornu (3),
"corniger, era, erum",
cornum,
corona ,
sub corona vendere,
coronare,
corpus ,
cortex,
coruscus,
coruscare ,
coruscare fulgore/hastam,
corvus,
corylus (ulus),
cos,
costa,
cothurnus ,
cottidie (Adv.),
cottidianus,
cras (Adv.),
crastinus,
crassus,
crassus ager/crassum filum/crassus aer,
crassitudo,
crater/cratera ,
cratis,
creare,
creare consules,
procreare,
recreare,
se recreare,
"creber, bra, brum ",
crebro Adv.,
credere Stf. (3),
credibilis,
incredibilis,
credulus,
credulitas,
cremare,
crepare Stf. ,
crepitare,
increpare Stf. (3) (armis/sonitum/me),
increpitare,
discrepare Stf.,
crescere Stf.,
accrescere Stf. ,
concrescere Stf.,
crimen ,
criminari ,
criminatio,
crinis ,
crista ,
crocodilus,
crocus (-um),
croceus ,
crudus (3),
crudelis,
crudelitas,
cruor,
cruentus,
incruentus,
crus,
crustulum,
crux,
cruciare,
cruciatus,
excruciare,
cubare Stf.,
cubile,
cubiculum ,
concubitus,
excubare,
excubiae ,
incubare,
incubare pelli/ovis,
recubare,
cubitus/-um (> le coude),
culex,
culina,
culmen ,
culmus,
culpa,
culpare,
culter,
cum ?,
cum amico/periculo,
cum +Ind (4),
cum +Konj. (4),
cum…tum ,
cum primum,
cumque (Adv.),
qui…cumque ,
cumba/cymba,
concumbere Stf.,
discumbere Stf.,
incumbere,
incumbere remis/in gladium,
incumbere litteris/rei inclinatae,
"occumbere (morti, mortem, morte)",
procumbere,
recumbere,
succumbere (2:–/),
cumera,
cumulare (4) (arma/eum laude/rem laude/gaudium),
cunae,
cunctari,
cunctatum est,
cunctatio,
cunctus (2: Sg./Pl.),
cuneus ,
cuniculus ,
cunnus,
cupere Stf. ,
cupidus Fall?,
cupidus eius,
cupiditas,
cupido,
concupiscere Stf.,
cupressus,
cur,
cura ,
curare,
curare aegrotum/bellum,
curatio (3),
accuratus  (-cura-),
procurare,
procurator ,
procuratio ,
curiosus ,
incuria,
incuriosus ,
securus (3),
securitas (3),
curia ,
currere Stf.,
cursus ,
curriculum (3),
accurrere Stf.,
concurrere Stf.,
concursio,
concursus,
decurrere Stf. (3) (monte/ad eos/spatium),
discurrere Stf.,
excursio,
incurrere Stf.  (in hostem/in odium),
incursio,
incursus,
incursare  (in hostem/rupi),
occurrere Fall?,
occurrere morbo/pugnae/oculis,
occursare ,
percurrere ,
praecurrere  ?,
procurrere ,
recurrere (3),
succurrere ,
currus,
curulis,
sella curulis,
aedilis curulis,
curtus,
curulis =?,
curvus ,
curvare,
recurvus,
cuspis ,
custos,
custodia ,
custodire,
cutis,
cyathus ,
cycnus,
cylindrus,
cytisus,
damma ,
damnum ,
damnosus ,
damnare (furti/mortis/pecunia),
damnatus voti,
damnatio,
condemnare ,
daps,
dare Stf. ,
dare iis agros,
dare dicta/dolorem,
circumdare Stf.  (fossam urbi/urbem fossa),
dedere Stf.,
se dedere,
deditus Fall?,
deditio,
dediticius (2: Adj./Subst.),
edere Stf. ,
edere sonum/proelium,
edere librum/oraculum,
editus,
prodere (4) (fumum/decretum/urbem/ius posteris),
proditor,
proditio,
reddere ,
reddere obsides/gratiam,
reddere Graeca Latine,
reddere mare tutum,
tradere Stf. ,
abdere Stf.,
addere Stf.,
condere Stf. ,
condere urbem/carmen/acta Caesaris,
condere fructus/iram/diem,
conditor ,
inconditus ,
abscondere Stf.,
recondere Stf.,
reconditus,
indere  Stf.,
indere ei metum/vincula,
perdere ,
perditus ,
deperdere Stf,
subdere ,
de Fall? ,
de muro/sella/nocte/pace,
debilis,
debilitas,
debilitare,
decem,
decimus (-umus),
decumanus (3),
porta decima,
"deni, ae, a",
denarius (nummus),
decie(n)s,
"December, bris, bre",
(mensis) December,
decere Fall? Stf.  (rem/me),
decor ,
decorus ,
indecorus ,
decus,
decorare,
dedecus,
indecoris,
dedecere Fall?,
delere Stf.,
deliberare,
deliberavi adesse,
deliberatio,
delibutus,
delirus,
delirare,
delphin,
delubrum,
demum Adv. ,
denique (Adv.) ,
dens ,
tridens,
bidens,
densus ,
densere ,
deorsum/-us Adv. ,
desiderare,
desiderium,
"deterior, ius Sup.?",
deus,
dea,
devexus,
"dexter, (e)ra, (e)rum (3)",
dextra (manus),
dialecticus ,
dialectica (ars),
dica,
dicere Stf. ,
dicere causam,
dictum,
dictare,
dictator,
dictatura,
dictitare,
addicere Stf.,
edicere,
edictum,
indicere Stf.,
interdicere Stf. ,
interdicere Romanis Gallia,
interdicere ei aqua et igni,
interdictum ,
praedicere ,
praedictum ,
praedictio,
dicare,
abdicare/se abdicare,
abdicare consulatum/se abdicare consulatu,
dedicare (2: 1. aedem deo; 2. deum aede),
praedicare,
dicio ,
condicio ,
"dicax, acis",
dies (3),
diu (Adv.),
diurnus ,
interdiu (Adv.),
biduum,
triduum,
digitus,
dignus Fall? ,
dignitas,
dignari (2: 1. eum re; 2. id facere),
dignatio ,
dedignari,
indignus ,
indignitas (3),
indignari Fall?,
indignatio,
dimicare,
dimicatio,
dirus ,
dirae (preces),
Dirae (sc. deae),
"dis, ditis",
ditare,
disceptare (3),
disceptatio ,
discere Stf.,
condiscere Stf.,
ediscere (versus/artem),
praediscere,
discipulus,
disciplina (3),
discrimen (3),
discus,
disertus ,
dissipare,
diu/u Steigerung? (Adv.),
diu/utinus,
diuturnus ,
diuturnitas,
"dives, itis",
divitiae,
dividere Stf. ,
divisio ,
individuus,
individuum corpus,
divus (2: Adj./Subst.),
divus Augustus,
sub divo,
divinus ,
divinitas ,
divinare ,
divinatio ,
docere Stf.,
docere eum litteras,
docere eum de hac re,
docere fabulam,
doctus ,
doctor,
doctrina ,
indoctus,
documentum ,
docilis,
indocilis ,
edocere Stf.,
dolere Stf. Fall? ,
indolentia,
dolor (3),
indolescere Stf. ,
dolium,
dolus,
dolosus,
subdolus,
domare Stf.,
domitor,
indomitus,
dominus,
domina,
dominari,
dominatio,
dominatus,
domus ,
domi/-um/-o,
domi militiaeque,
domesticus ,
domicilium,
donec 1.+Ind; 2.+Konj,
donum ,
donare ,
condonare ,
redonare,
dormire,
dormitare,
dorsum ,
dos ,
indotatus,
draco,
druides,
dryas,
dubius ,
dubitare ,
dubitatio ,
ducere Stf.  (+Obj./+AcI),
ducere fossam/bellum,
ducere (copias) Uticam,
ducere uxorem (in matrimonium),
ducere id bonum/id in bonis,
ducere aratrum/gregem,
ducere aera/colorem,
ducere sortem/gemitum de imo pectore,
ducere filum/carmen,
ducere soporem/praedam,
ductor,
ductus ,
ductare ,
abducere Stf.,
"adducere Stf. (4) (eos ad se/eum, ut maneat/arcum/cutem)",
circumducere Stf.  (-/alqm alqa re),
